Source;Target;Type;id;weight
517;5;Undirected;491;0.0025
342;215;Undirected;492;0.0025
64;332;Undirected;493;0.0025
6;393;Undirected;494;0.0025
209;93;Undirected;495;0.0025
518;519;Undirected;496;0.0025
520;521;Undirected;497;0.0025
522;523;Undirected;498;0.0025
28;524;Undirected;499;0.0025
428;525;Undirected;500;0.0025
419;526;Undirected;501;0.0025
49;112;Undirected;502;0.0025
76;213;Undirected;503;0.0025
11;527;Undirected;504;0.0075
4;11;Undirected;505;0.01
528;19;Undirected;506;0.0025
529;6;Undirected;507;0.0025
290;530;Undirected;508;0.0025
6;531;Undirected;509;0.005
6;532;Undirected;510;0.0075
311;185;Undirected;511;0.0025
121;533;Undirected;512;0.0025
534;11;Undirected;513;0.015
535;247;Undirected;514;0.0025
190;23;Undirected;515;0.0025
170;39;Undirected;516;0.005
69;459;Undirected;517;0.0025
536;140;Undirected;518;0.0025
537;538;Undirected;519;0.0025
265;173;Undirected;520;0.0025
180;517;Undirected;521;0.0025
11;539;Undirected;522;0.0025
540;541;Undirected;523;0.0025
542;6;Undirected;524;0.0025
543;544;Undirected;525;0.005
338;11;Undirected;526;0.0025
545;121;Undirected;527;0.0025
86;413;Undirected;528;0.0025
546;222;Undirected;529;0.0025
493;178;Undirected;530;0.0025
460;6;Undirected;531;0.0025
260;268;Undirected;532;0.0025
143;11;Undirected;533;0.0025
287;6;Undirected;534;0.0025
132;70;Undirected;535;0.0025
547;548;Undirected;536;0.0025
6;549;Undirected;537;0.0025
24;550;Undirected;538;0.0025
470;11;Undirected;539;0.0025
48;551;Undirected;540;0.0025
552;11;Undirected;541;0.0025
170;553;Undirected;542;0.005
237;554;Undirected;543;0.0025
555;11;Undirected;544;0.0025
556;304;Undirected;545;0.0025
53;11;Undirected;546;0.0025
557;480;Undirected;547;0.005
23;244;Undirected;548;0.0025
66;558;Undirected;549;0.0025
559;241;Undirected;550;0.0025
560;381;Undirected;551;0.0025
561;11;Undirected;552;0.0025
375;304;Undirected;553;0.0025
111;6;Undirected;554;0.005
11;562;Undirected;555;0.0025
563;564;Undirected;556;0.0025
316;565;Undirected;557;0.0075
566;57;Undirected;558;0.065
567;568;Undirected;559;0.0125
569;222;Undirected;560;0.0025
570;546;Undirected;561;0.0025
365;571;Undirected;562;0.0025
5;390;Undirected;563;0.0025
572;573;Undirected;564;0.0025
360;574;Undirected;565;0.0025
548;48;Undirected;566;0.0025
575;576;Undirected;567;0.0025
6;558;Undirected;568;0.0025
577;124;Undirected;569;0.0025
578;579;Undirected;570;0.0025
580;140;Undirected;571;0.0025
97;581;Undirected;572;0.0025
469;445;Undirected;573;0.0025
144;24;Undirected;574;0.01
11;133;Undirected;575;0.0025
582;294;Undirected;576;0.005
71;6;Undirected;577;0.0025
583;584;Undirected;578;0.0025
130;69;Undirected;579;0.0025
585;377;Undirected;580;0.0025
259;586;Undirected;581;0.0025
132;587;Undirected;582;0.0025
588;23;Undirected;583;0.0025
589;249;Undirected;584;0.0025
449;469;Undirected;585;0.0025
590;23;Undirected;586;0.0025
49;591;Undirected;587;0.0025
592;118;Undirected;588;0.0025
593;2;Undirected;589;0.0025
22;87;Undirected;590;0.0025
6;594;Undirected;591;0.0025
346;595;Undirected;592;0.0025
37;125;Undirected;593;0.0025
387;510;Undirected;594;0.0025
428;336;Undirected;595;0.0025
596;402;Undirected;596;0.0025
597;598;Undirected;597;0.0025
599;546;Undirected;598;0.0025
11;600;Undirected;599;0.0025
6;601;Undirected;600;0.0025
602;603;Undirected;601;0.0025
273;501;Undirected;602;0.0025
583;11;Undirected;603;0.0025
117;258;Undirected;604;0.0025
604;605;Undirected;605;0.0025
606;24;Undirected;606;0.0025
11;219;Undirected;607;0.0025
82;6;Undirected;608;0.0025
171;36;Undirected;609;0.065
256;607;Undirected;610;0.0025
608;6;Undirected;611;0.0025
609;231;Undirected;612;0.0025
153;610;Undirected;613;0.01
611;612;Undirected;614;0.0025
613;614;Undirected;615;0.005
615;262;Undirected;616;0.0025
121;616;Undirected;617;0.0025
5;255;Undirected;618;0.0025
11;617;Undirected;619;0.0025
618;619;Undirected;620;0.0025
23;620;Undirected;621;0.0025
